 «СМЕРШ.» Х/ф (16+)| «СМЕРШ.» Т/с (16+)
 «Разрешите тебя поцеловать...Отец невесты» Х/ф (16+)| «Разрешите тебя поцеловать...Отец невесты» Х/ф (12+)
Белая Лилия|Белая лилия
 «Ганнибал» Х/ф (16+)| «Ганнибал» Х/ф (18+)
 «Красный дракон» Х/ф (16+)| «Красный дракон» Х/ф (18+)
 « | «
 «Большая перемена» Т/с (12+)| «Большая перемена» Т/с (0+)
 «Экипаж» Х/ф (6+)| «Экипаж» Х/ф (6+)
 «Батальоны просят огня» Т/с (16+)| «Батальоны просят огня» Т/с (0+)
 «Одинокая женщина желает познакомиться» Х/ф (12+)| «Одинокая женщина желает познакомиться» Х/ф (6+)
 «Не хочу жениться!» Х/ф (16+)| «Не хочу жениться!» Х/ф (12+)
Матрос чижик|Матрос Чижик
. (| (
 «Приказано взять живым» Х/ф (12+)| «Приказано взять живым» Х/ф (0+)
 «Девичий лес» Х/ф (16+)| «Девичий лес» Х/ф (12+)
 «Парфюмерша» Х/ф (16+)| «Парфюмерша» Х/ф (12+)
 «Ветреный» Х/ф (16+)| «Ветреный» Т/с (16+)
 «Оно» Х/ф (16+)| «Оно» Х/ф (18+)
 «Битва за Севастополь» Х/ф (16+)| «Битва за Севастополь» Х/ф (12+)
 «Мария. Спасти Москву» Х/ф (16+)| «Мария. Спасти Москву» Х/ф (12+)
 «Рядовой Чээрин» Х/ф (16+)| «Рядовой Чээрин» Х/ф (12+)
 «Ржев» Т/с (16+)| «Ржев» Т/с (12+)
 «Подольские курсанты» Х/ф (12+)| «Подольские курсанты» Х/ф (12+)
 «Два дня» Х/ф (16+)| «Два дня» Х/ф (0+)
 «Формула любви» Х/ф (12+)| «Формула любви» Х/ф (0+)
 «Человек с бульвара Капуцинов» Х/ф (16+)| «Человек с бульвара Капуцинов» Х/ф (0+)
 «Обыкновенное чудо» Х/ф (12+)| «Обыкновенное чудо» Х/ф (0+)
 «Девчата» Х/ф (12+)| «Девчата» Х/ф (0+)
Мадам парфюмер|Мадам Парфюмер
 «Гори, гори, моя звезда» Х/ф (12+)| «Гори, гори, моя звезда» Х/ф (12+)
 (12+) (0+)| (12+)
 +)» (0+)| (0+)
«Дачники» Х/ф|«Дачники» Х/ф (12+)
Просто Жизнь|Просто жизнь
 «Проклятие Аннабель: зарождение зла» Х/ф (16+)| «Проклятие Аннабель: зарождение зла» Х/ф (18+)
 «Заклятие 2» Х/ф (16+)| «Заклятие 2» Х/ф (18+)
 «Проклятие монахини» Х/ф (16+)| «Проклятие монахини» Х/ф (18+)
 «Побочный эффект» Х/ф (16+)| «Побочный эффект» Х/ф (18+)
«Концерты» (16+). Концерт|«Концерты» (16+)
 «Нюхач» Х/ф (16+)| «Нюхач» Т/с (16+)
 «Люди на мосту» Х/ф (16+)| «Люди на мосту» Х/ф (12+)
 «Вокзал для двоих» Х/ф (12+)| «Вокзал для двоих» Х/ф (0+)
 «Женитьба Бальзаминова» Х/ф (12+)| «Женитьба Бальзаминова» Х/ф (6+)
 «Ищите женщину» Х/ф (12+)| «Ищите женщину» Х/ф (0+)
